"trial","MatingSuccess","rel_repo_fitness"
12,0,0
12,0,0
12,4,3.97473684210526
12,0,0
12,4,4.02526315789474
12,0,0
12,0,0
12,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,2,2.38649155722326
2,0,0
2,2,2.5515947467167
2,4,3.06191369606004
3,0.8,0.291149710504549
3,2.4,2.52109181141439
3,0.8,0.942928039702233
3,2.4,3.03060380479735
3,1.6,1.21422663358147
3,0,0
3,0,0
3,0,0
4,0,0
4,2.66666666666667,1.77777777777778
4,1.33333333333333,0.37037037037037
4,0,0
4,2.66666666666667,1.33333333333333
4,0,0
4,0,0
4,1.33333333333333,4.51851851851852
5,0,0
5,0,0
5,0,0
5,4,3.61842105263158
5,2,2.82894736842105
5,2,1.55263157894737
5,0,0
5,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,4,4.80365296803653
6,0,0
6,0,0
6,4,3.19634703196347
8,0,0
8,4,2.44351464435146
8,0,0
8,0,0
8,4,5.55648535564854
8,0,0
8,0,0
8,0,0
