"trial","MatingSuccess","rel_repo_fitness"
10,0,0
10,0,0
10,1,3.02793296089385
10,0,0
10,0,0
10,1,2.97206703910615
11,2,4.70886075949367
11,0,0
11,1,1.29113924050633
11,0,0
11,0,0
11,0,0
12,0,0
12,0,0
12,2,6
12,0,0
12,0,0
12,0,0
13,0,0
13,1,1.72704714640198
13,0,0
13,1,1.39950372208437
13,1,2.87344913151365
13,0,0
14,0,0
14,0,0
14,0,0
14,1,2.85217391304348
14,0,0
14,1,3.14782608695652
15,0,0
15,0,0
15,0,0
15,0,0
15,1,6
15,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,1,6
1,1,2.69466882067851
1,0,0
1,0,0
1,0,0
1,1,3.30533117932149
1,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,1,5.40112994350283
2,1,0.598870056497175
3,0,0
3,1,6
3,0,0
3,0,0
3,0,0
3,0,0
5,0,0
5,1,6
5,0,0
5,0,0
5,0,0
5,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,1,7
