"trial","MatingSuccess","rel_repo_fitness"
10,1,2.97206703910615
10,1,3.02793296089385
10,0,0
10,0,0
10,0,0
10,0,0
11,0,0
11,2,2.62025316455696
11,0,0
11,1,3.37974683544304
11,0,0
11,0,0
12,1,1.61052631578947
12,0,0
12,0,0
12,1,4.38947368421053
12,0,0
12,0,0
13,1,1.72704714640198
13,0,0
13,0,0
13,0,0
13,1,2.87344913151365
13,1,1.39950372208437
14,0,0
14,0,0
14,0,0
14,0,0
14,1,2.85217391304348
14,1,3.14782608695652
15,0,0
15,0,0
15,0,0
15,0,0
15,1,6
15,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,1,6
1,0,0
1,1,3.30533117932149
1,0,0
1,0,0
1,0,0
1,1,2.69466882067851
2,1,7.2015065913371
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,1,0.7984934086629
3,0,0
3,0,0
3,0,0
3,1,6
3,0,0
3,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,1,6
5,0,0
6,0,0
6,0,0
6,0,0
6,1,6
6,0,0
6,0,0
