"trial","MatingSuccess","rel_repo_fitness"
"C1","2.33333333333333","2.15384615384615"
"C1","1.16666666666667","1.25641025641026"
"C1","2.33333333333333","2.15384615384615"
"C1","1.16666666666667","1.43589743589744"
"C1","0","0"
"C1","0","0"
"C1","0","0"
"C3","0","0"
"C3","0","0"
"C3","1.14285714285714","1.00523560209424"
"C3","2.28571428571429","1.84293193717277"
"C3","1.14285714285714","1.75916230366492"
"C3","2.28571428571429","2.63874345549738"
"C3","1.14285714285714","0.753926701570681"
"C3","0","0"
"C4","4.8","5.15555555555556"
"C4","0","0"
"C4","0","0"
"C4","0","0"
"C4","0","0"
"C4","0","0"
"C4","0","0"
"C4","3.2","2.84444444444444"
"C5","2.28571428571429","2.07228915662651"
"C5","1.14285714285714","1.20481927710843"
"C5","0","0"
"C5","0","0"
"C5","3.42857142857143","3.42168674698795"
"C5","1.14285714285714","1.30120481927711"
"C5","0","0"
"C5","0","0"
"C6","0","0"
"C6","0","0"
"C6","1.14285714285714","1.5632183908046"
"C6","0","0"
"C6","0","0"
"C6","1.14285714285714","1.74712643678161"
"C6","2.28571428571429","2.20689655172414"
"C6","3.42857142857143","2.48275862068966"
"C7","0","0"
"C7","1.14285714285714","1.19540229885057"
"C7","2.28571428571429","2.16091954022989"
"C7","0","0"
"C7","0","0"
"C7","2.28571428571429","1.19540229885057"
"C7","0","0"
"C7","2.28571428571429","3.44827586206897"
"C8","1","1.15032679738562"
"C8","0","0"
"C8","1","1.38562091503268"
"C8","1","0.65359477124183"
"C8","1","1.33333333333333"
"C8","1","0.758169934640523"
"C8","0","0"
"C8","3","2.71895424836601"
