"trial_num","fishID","MatingSuccess","days_mated","mate_cat","totalEggs","NumDeveloped","NumUndeveloped","length","femID"
"C1",1,2,"1,2","m",60,60,0,10.102,"C1F1"
"C1",3,1,"1","s",35,35,0,10.408,"C1F3"
"C1",4,2,"1,1","m",60,58,2,9.003,"C1F4"
"C1",5,1,"7","s",40,40,0,9.755,"C1F5"
"C1",6,0,"","0",0,0,0,9.739,"C1F6"
"C1",7,0,"","0",0,0,0,9.285,"C1F7"
"C1",8,0,"","0",0,0,0,9.916,"C1F8"
"C3",1,0,"","0",0,0,0,9.85,"C3F1"
"C3",2,0,"","0",0,0,0,9.6,"C3F2"
"C3",3,1,"5","s",24,24,0,8.868,"C3F3"
"C3",4,2,"1,3","m",44,44,0,8.825,"C3F4"
"C3",5,1,"3","s",42,41,1,10.321,"C3F5"
"C3",6,2,"1,1,5","m",63,63,0,9.613,"C3F6"
"C3",7,1,"10","s",18,18,0,9.786,"C3F7"
"C3",8,0,"","0",0,0,0,9.526,"C3F8"
"C4",1,3,"2,2,4","m",87,84,3,9.462,"C4F1"
"C4",2,0,"","0",0,0,0,9.956,"C4F2"
"C4",3,0,"","0",0,0,0,9.298,"C4F3"
"C4",4,0,"","0",0,0,0,9.276,"C4F4"
"C4",5,0,"","0",0,0,0,8.943,"C4F5"
"C4",6,0,"","0",0,0,0,9.797,"C4F6"
"C4",7,0,"","0",0,0,0,8.864,"C4F7"
"C4",8,2,"3,7","m",48,34,14,9.559,"C4F8"
"C5",1,2,"10,12","m",43,33,10,10.43,"C5F1"
"C5",2,1,"1","s",25,25,0,9.379,"C5F2"
"C5",3,0,"","0",0,0,0,9.897,"C5F3"
"C5",4,0,"","0",0,0,0,10.114,"C5F4"
"C5",5,3,"1,7,13","m",71,64,7,9.558,"C5F5"
"C5",6,1,"6","s",27,24,3,9.725,"C5F6"
"C5",7,0,"","0",0,0,0,9.004,"C5F7"
"C5",8,0,"","0",0,0,0,9.48,"C5F8"
"C6",1,0,"","0",0,0,0,9.726,"C6F1"
"C6",2,0,"","0",0,0,0,9.318,"C6F2"
"C6",3,1,"1","s",34,32,2,9.835,"C6F3"
"C6",4,0,"","0",0,0,0,8.879,"C6F4"
"C6",5,0,"","0",0,0,0,9.713,"C6F5"
"C6",6,1,"2","s",38,38,0,11.251,"C6F6"
"C6",7,2,"1,2","m",48,46,2,9.543,"C6F7"
"C6",8,3,"1,1,3","m",54,43,11,10.735,"C6F8"
"C7",1,0,"","0",0,0,0,9.114,"C7F1"
"C7",2,1,"1","s",26,25,1,9.971,"C7F2"
"C7",3,2,"4,9","m",47,37,10,10.007,"C7F3"
"C7",4,0,"","0",0,0,0,9.468,"C7F4"
"C7",5,0,"","0",0,0,0,10.252,"C7F5"
"C7",6,2,"1,7","m",26,15,11,10.416,"C7F6"
"C7",7,0,"","0",0,0,0,9.891,"C7F7"
"C7",8,2,"1,9","m",75,64,11,9.164,"C7F8"
"C8",1,1,"1","s",44,43,1,9.965,"C8F1"
"C8",2,0,"","0",0,0,0,9.197,"C8F2"
"C8",3,1,"3","s",53,52,1,9.974,"C8F3"
"C8",4,1,"1","s",25,25,0,10.514,"C8F4"
"C8",5,1,"2","s",51,51,0,9.553,"C8F5"
"C8",6,1,"2","s",29,29,0,10.163,"C8F6"
"C8",7,0,"","0",0,0,0,11.0949,"C8F7"
"C8",8,3,"1,1,2","m",104,95,9,11.604,"C8F8"
