"momID","trial_num","fishID","col_location","col_month","lat_to_trial","weight","length","depth","svl","MatingSuccess","NumDeveloped","NumUndeveloped","totalEggs","mated","fit1","eggs_per_mate","fit2","prop_dev","fit3","StdLength"
"FL12F1",12,1,"TBML","november",13,3.6,189.603,6.972,87.644,0,0,0,0,0,0,NA,0,NA,0,0.61152386194871
"FL12F2",12,2,"TBML","november",13,4.6,195.714,7.464,83.414,0,0,0,0,0,0,NA,0,NA,0,0.971250706090651
"FL12F3",12,3,"TBML","november",13,4.5,190.545,7.709,88.796,1,204,32,236,1,4,236,0.993684210526316,0.864406779661017,1.0884979460618,0.666975128056009
"FL12F4",12,4,"TBML","november",13,5.6,201.046,8.654,92.544,0,0,0,0,0,0,NA,0,NA,0,1.2851213545876
"FL12F5",12,5,"TBML","november",13,3.1,170.164,6.707,80.435,1,173,66,239,1,4,239,1.00631578947368,0.723849372384937,0.911502053938203,-0.532761872509678
"FL12F6",12,6,"TBML","november",13,2,164.242,5.179,71.73,0,0,0,0,0,0,NA,0,NA,0,-0.881363144152384
"FL12F7",12,7,"TBML","november",13,2,154.88,4.843,67.778,0,0,0,0,0,0,NA,0,NA,0,-1.43246160837376
"FL12F8",12,8,"TBML","november",13,2.2,167.522,5.655,73.457,0,0,0,0,0,0,NA,0,NA,0,-0.688284425647137
"FL2F1",2,1,"TBML","october",12,4.8,199.032,7.376,88.812,0,0,0,0,0,0,NA,0,NA,0,1.06636639170499
"FL2F2",2,2,"TBML","october",12,2.4,169.335,5.32,76.236,0,0,0,0,0,0,NA,0,NA,0,-0.330918173907159
"FL2F3",2,3,"TBML","october",12,5.3,209.808,8.059,103.071,0,0,0,0,0,0,NA,0,NA,0,1.57339196597298
"FL2F4",2,4,"TBML","september",19,3.1,171.947,6.569,77.543,0,0,0,0,0,0,NA,0,NA,0,-0.208019992764993
"FL2F5",2,5,"TBML","september",19,1.7,147.601,4.996,63.396,1,131,28,159,1,2,159,1.10672853828306,0.823899371069182,1.05602579604998,-1.35353267197142
"FL2F6",2,6,"TBML","september",19,1.9,152.714,4.68,70.134,0,0,0,0,0,0,NA,0,NA,0,-1.11295901187192
"FL2F7",2,7,"TBML","september",19,3.5,184.933,6.452,85.602,1,122,48,170,1,2,170,1.18329466357309,0.717647058823529,0.919837826303436,0.402989111489286
"FL2F8",2,8,"TBML","september",19,2.7,175.575,6.269,78.212,2,163,41,204,1,4,102,0.709976798143852,0.799019607843137,1.02413637764658,-0.037317618651754
"FL3F1",3,1,"TBML","october",19,5.6,203.611,8.484,95.139,1,85,3,88,1,0.8,88,0.394324122479462,0.965909090909091,1.12938987258177,1.73158117296026
"FL3F2",3,2,"TBML","october",12,3.4,181.831,8.033,86.401,3,731,31,762,1,2.4,254,1.13816280806572,0.959317585301837,1.12168275009171,0.767014385948374
"FL3F3",3,3,"TBML","october",5,1.2,142.32,3.914,63.24,1,154,131,285,1,0.8,285,1.27707244212099,0.540350877192982,0.631805636872162,-0.982801882262214
"FL3F4",3,4,"TBML","october",5,4,181.386,8.575,85.176,3,785,131,916,1,2.4,305.333333333333,1.36818521284541,0.856986899563319,1.0020325250186,0.747306754165992
"FL3F5",3,5,"TBML","october",5,3.3,162.618,6.991,76.801,2,350,17,367,1,1.6,183.5,0.822255414488424,0.953678474114441,1.11508921543576,-0.0838681521076111
"FL3F6",3,6,"TBML","october",19,1.2,139.352,4.015,63.443,0,0,0,0,0,0,NA,0,NA,0,-1.11424514322876
"FL3F7",3,7,"TBML","october",19,1.4,148.166,4.285,64.288,0,0,0,0,0,0,NA,0,NA,0,-0.723901173498602
"FL3F8",3,8,"TBML","october",5,2,156.81,5.194,72.794,0,0,0,0,0,0,NA,0,NA,0,-0.341085961977447
"FL4F1",4,1,"FD","october",11,2.1,156.414,5.208,66.831,0,0,0,0,0,0,NA,0,NA,0,-0.784620192304275
"FL4F2",4,2,"FD","october",11,4.7,202.084,7.211,91.533,2,168,0,168,1,2.66666666666667,84,0.551724137931034,1,1.24703897199598,1.19137055365157
"FL4F3",4,3,"FD","october",11,5.1,197.892,8.56,89.645,1,31,4,35,1,1.33333333333333,35,0.229885057471264,0.885714285714286,1.10452023233929,1.00999649612919
"FL4F4",4,4,"TBML","october",14,3,182.398,6.214,79.505,0,0,0,0,0,0,NA,0,NA,0,0.339622057376405
"FL4F5",4,5,"TBML","october",14,4.1,197.452,7.179,89.68,2,50,76,126,1,2.66666666666667,63,0.413793103448276,0.396825396825397,0.494856734919038,0.990959142763295
"FL4F6",4,6,"TBML","october",14,1.7,144.463,4.346,66.446,0,0,0,0,0,0,NA,0,NA,0,-1.30170066974939
"FL4F7",4,7,"TBML","october",14,2.1,163.219,5.99,70.72,0,0,0,0,0,0,NA,0,NA,0,-0.490190215815781
"FL4F8",4,8,"TBML","october",14,1.7,152.466,6.161,65.521,1,395,32,427,1,1.33333333333333,427,2.80459770114943,0.925058548009368,1.15358406074569,-0.955437172051015
"FL5F1",5,1,"TBML","october",8,1.1,155.761,4.854,57.688,0,0,0,0,0,0,NA,0,NA,0,-0.982550534769862
"FL5F2",5,2,"TBML","october",8,1.2,138.234,4.51,59.274,0,0,0,0,0,0,NA,0,NA,0,-1.90199944849253
"FL5F3",5,3,"FD","october",12,4.2,199.048,6.862,91.479,0,0,0,0,0,0,NA,0,NA,0,1.28824224940959
