"momID","trial_num","fishID","col_month","lat_to_trial","weight","length","depth","svl","snout_len","MatingSuccess","NumDeveloped","NumUndeveloped","totalEggs","mated","fit1","eggs_per_mate","fit2","prop_dev","fit3","StdLength"
"FU10F1",10,"1","july",12,3.4,202.065,7.423,77.519,11.565,0,0,0,0,0,0,NA,0,NA,0,1.46154765407034
"FU10F2",10,"2","july",12,2.9,192.257,6.619,72.614,10.912,0,0,0,0,0,0,NA,0,NA,0,1.06929716792885
"FU10F3",10,"3","july",12,1.2,145.704,4.457,60.731,8.661,1,267,4,271,1,3,271,1.00931098696462,0.985239852398524,1.00014082126964,-0.792492889304529
"FU10F4",10,"4","july",12,1.4,156.019,4.268,67.031,9.73,0,0,0,0,0,0,NA,0,NA,0,-0.379965996507882
"FU10F5",10,"5","july",12,1.5,145.716,4.215,61.603,9.71,0,0,0,0,0,0,NA,0,NA,0,-0.792012974354111
"FU10F6",10,"6","july",12,1.5,151.358,4.016,69.647,9.638,1,262,4,266,1,3,266,0.990689013035382,0.984962406015038,0.999859178730355,-0.566372961832669
"FU11F1",11,"1","july",12,1.5,144.901,4.209,59.517,8.082,2,211,37,248,1,4,124,1.29166666666667,0.850806451612903,1.03446286950252,-0.416883743204702
"FU11F2",11,"2","july",12,1.3,145.687,4.094,58.951,9.173,0,0,0,0,0,0,NA,0,NA,0,-0.342061710438931
"FU11F3",11,"3","july",12,2.9,169.373,6.639,68.469,10.675,1,54,14,68,1,2,68,0.708333333333333,0.794117647058823,0.965537130497476,1.91268977568071
"FU11F4",11,"4","july",12,1.6,150.637,4.785,61.239,8.704,0,0,0,0,0,0,NA,0,NA,0,0.129145747818783
"FU11F5",11,"5","july",12,1.6,145.956,5.074,58.608,8.877,0,0,0,0,0,0,NA,0,NA,0,-0.316454678868968
"FU11F6",11,"6","july",12,1.2,139.128,3.906,51.345,9.154,0,0,0,0,0,0,NA,0,NA,0,-0.966435390986883
"FU12F1",12,"1","july",14,1.8,151.205,4.943,61.089,9.402,0,0,0,0,0,0,NA,0,NA,0,0.062906635930659
"FU12F2",12,"2","july",14,1.7,150.455,5.024,62.24,10.095,0,0,0,0,0,0,NA,0,NA,0,0.00903796577119834
"FU12F3",12,"3","july",14,2.7,167.877,6.407,68.41,10.758,2,418,152,570,1,6,285,1,0.733333333333333,1,1.2603712611287
"FU12F4",12,"4","july",14,1.3,141.824,3.951,57.594,8.548,0,0,0,0,0,0,NA,0,NA,0,-0.610882690423874
"FU12F5",12,"5","july",14,1.2,128.91,3.219,61.304,7.578,0,0,0,0,0,0,NA,0,NA,0,-1.53842936567624
"FU12F6",12,"6","july",14,1.6,161.704,4.493,69.243,9.717,0,0,0,0,0,0,NA,0,NA,0,0.816996193269561
"FU13F1",13,"1","july",14,1.6,155.733,4.387,64.12,9.523,0,0,0,0,0,0,NA,0,NA,0,0.388455907383672
"FU13F2",13,"2","july",14,1.4,149.057,3.817,60.825,8.785,1,99,17,116,1,2,116,0.863523573200992,0.853448275862069,0.910864600326264,-0.144347469761938
"FU13F3",13,"3","july",14,1.2,145.641,4.224,58.959,8.393,0,0,0,0,0,0,NA,0,NA,0,-0.416974242729193
"FU13F4",13,"4","july",14,1.3,135.686,4.413,54.883,7.799,1,90,4,94,1,2,94,0.699751861042184,0.957446808510638,1.02185970636215,-1.21147059076462
"FU13F5",13,"5","july",14,2.1,172.765,5.499,71.71,11.911,1,193,0,193,1,2,193,1.43672456575682,1,1.06727569331158,1.74775895105413
"FU13F6",13,"6","july",14,1.4,146.312,3.956,56.702,8.403,0,0,0,0,0,0,NA,0,NA,0,-0.363422555182052
"FU14F1",14,"1","july",16,1.3,112.828,3.602,68.503,8.728,0,0,0,0,0,0,NA,0,NA,0,-1.33664518291556
"FU14F2",14,"2","july",16,1.3,128.041,3.803,49.982,7.769,0,0,0,0,0,0,NA,0,NA,0,-0.578361680285532
"FU14F3",14,"3","july",16,1.3,140.935,3.699,53.955,7.634,0,0,0,0,0,0,NA,0,NA,0,0.0643325603581042
