"trial","s1","s2","s3","s12","s123","s1_prime","s2_prime","s3_prime","s12_prime","s123_prime","Sex"
10,-20.3866,13.5805378026071,0.0103696233678763,-6.80606219739292,-6.79569257402505,-0.815319510682318,0.543125260515453,0.000414711440370474,-0.272194250166866,-0.271779538726495,"F"
11,4.53360000000001,-2.81846666666667,1.25885826484018,1.71513333333334,2.97399159817352,0.431568915708521,-0.268299497814969,0.119835030966073,0.163269417893552,0.283104448859625,"F"
12,21.0574,-17.5478333333333,0,3.50956666666667,3.50956666666667,1.51244551335443,-1.2603712611287,0,0.252074252225739,0.252074252225739,"F"
13,1.96439999999999,1.89149677419355,-2.61315957354102,3.85589677419354,1.24273720065253,0.156776356211029,0.150958039117787,-0.208553062582839,0.307734395328816,0.0991813327459774,"F"
14,19.6256,-13.4258620289855,0.278037618729097,6.19973797101449,6.47777558974359,0.978227089279956,-0.669204606926095,0.0138586300790648,0.309022482353861,0.322881112432925,"F"
15,10.3076,-8.58966666666665,0,1.71793333333333,1.71793333333333,1.12252277473529,-0.935435645612738,0,0.187087129122548,0.187087129122548,"F"
16,23.9006,-19.9171666666667,0,3.98343333333333,3.98343333333333,2.22833228283421,-1.8569435690285,0,0.371388713805701,0.371388713805701,"F"
1,-10.5038,7.02443575659666,-0.0237957062605352,-3.47936424340334,-3.50315994966387,-1.17242476464813,0.784061238667315,-0.00265605545727682,-0.388363525980814,-0.391019581438091,"F"
2,-10.9974,6.52209905838041,0.805185905064751,-4.47530094161958,-3.67011503655483,-0.836283601933203,0.495964909224683,0.0612293604773307,-0.34031869270852,-0.27908933223119,"F"
3,18.67,-15.5583333333333,0,3.11166666666667,3.11166666666667,1.4435378673878,-1.20294822282317,0,0.240589644564633,0.240589644564633,"F"
5,10.2742,-8.56183333333333,0,1.71236666666667,1.71236666666667,0.836649496447169,-0.697207913705974,0,0.139441582741195,0.139441582741195,"F"
6,-2.80350000000001,2.40300000000001,0,-0.400500000000001,-0.400500000000001,-0.286514471872855,0.245583833033876,0,-0.0409306388389793,-0.0409306388389793,"F"
10,-14.5116,9.70535903165736,-0.0304908009357874,-4.80624096834264,-4.83673176927843,-0.680962971736117,0.455428080154039,-0.00143079373851596,-0.225534891582078,-0.226965685320594,"M"
11,-5.94720000000001,2.94631794871795,0.6231203882412,-3.00088205128205,-2.37776166304085,-0.595390057889585,0.294963750008122,0.0623822444220992,-0.300426307881463,-0.238044063459364,"M"
12,0.694199999999998,-1.10936842105263,0.396046579258064,-0.415168421052634,-0.0191218417945704,0.0653383312333607,-0.104414118920437,0.0372760336781949,-0.0390757876870764,-0.00179975400888154,"M"
13,-7.8352,2.32199404466501,1.47418121145244,-5.51320595533499,-4.03902474388255,-0.573501961597785,0.169959686981029,0.107903539988587,-0.403542274616756,-0.295638734628169,"M"
14,14.2128,-9.1570979710145,-0.258511875139354,5.05570202898551,4.79719015384616,0.89861471047286,-0.578964239417624,-0.0163446030220749,0.319650471055236,0.303305868033161,"M"
15,-10.5098,8.75816666666665,0,-1.75163333333333,-1.75163333333333,-0.912964612490587,0.760803843742156,0,-0.152160768748431,-0.152160768748431,"M"
16,0.0255999999999943,-0.0213333333333286,0,0.00426666666666572,0.00426666666666572,0.00182735474325766,-0.00152279561938139,0,0.000304559123876277,0.000304559123876277,"M"
1,-2.93080000000001,2.57330220786215,-0.672980610794001,-0.35749779213786,-1.03047840293186,-0.195682795226549,0.171813487442717,-0.0449333721350622,-0.0238693077838324,-0.0688026799188946,"M"
2,-3.01985714285715,1.95308898305085,0.310141806705216,-1.0667681598063,-0.756626353101082,-0.27429668297476,0.177401050533978,0.0281704944329097,-0.0968956324407819,-0.0687251380078722,"M"
3,-9.07219999999999,7.56016666666666,0,-1.51203333333333,-1.51203333333333,-0.519763373584197,0.433136144653498,0,-0.0866272289306995,-0.0866272289306995,"M"
5,0.145999999999992,-0.12166666666666,0,0.024333333333332,0.024333333333332,0.0231099868658695,-0.0192583223882246,0,0.00385166447764492,0.00385166447764492,"M"
6,-13.429,11.1908333333333,0,-2.23816666666667,-2.23816666666667,-1.27559425975547,1.06299521646289,0,-0.212599043292578,-0.212599043292578,"M"
