"trial_num","fishID","rank_2_mate","fem_mate","NumDeveloped","NumUndeveloped","totalEggs","lat_to_preg","per_surviving","length","fem_mate_len","fem_mate_cat","maleID","MatingSuccess"
"C1",1,5,"F5","40","0","40",7,1,8.743,"9.755","s","C1M1",1
"C1",2,NA,NA,"0","0","0",NA,NA,7.413,NA,NA,"C1M2",0
"C1",3,2,"F4","40","1","41",1,0.975609756,8.53,"9.003","m","C1M3",1
"C1",4,2,"F4","18","1","19",1,0.947368421,8.741,"9.003","m","C1M4",1
"C1",6,3,"F1","35","0","35",2,1,8.55,"10.102","m","C1M6",1
"C1",7,1,"F3","35","0","35",1,1,8.624,"10.408","s","C1M7",1
"C1",8,2,"F1","20","0","20",1,1,8.393,"10.102","m","C1M8",1
"C3",1,1,"F6","16","0","16",1,1,9.378,"9.613","m","C3M1",1
"C3",2,3,"F3","24","0","24",5,1,7.511,"8.868","s","C3M2",1
"C3",3,1,"F4","24","0","24",1,1,7.911,"8.825","m","C3M3",1
"C3",4,3,"F6","29","0","29",5,1,9.047,"9.613","m","C3M4",1
"C3",5,2,"F5","41","1","42",3,0.976190476,9.414,"10.321","s","C3M5",1
"C3",6,2,"F4","20","0","20",3,1,7.839,"8.825","m","C3M6",1
"C3",7,1,"F6","29","5","34",1,0.852941176,8.643,"9.613","m","C3M7",1
"C3",8,4,"F7","18","0","18",10,1,8.536,"9.786","s","C3M8",1
"C4",1,NA,NA,"0","0","0",NA,NA,7.56,NA,NA,"C4M1",0
"C4",2,NA,NA,"0","0","0",NA,NA,8.243,NA,NA,"C4M2",0
"C4",3,1,"F1","27","0","27",2,1,8.56,"9.462","m","C4M3",1
"C4",4,1,"F1","34","0","34",2,1,7.962,"9.462","m","C4M4",1
"C4",5,3,"F1","23","3","26",4,0.884615385,8.734,"9.462","m","C4M5",1
"C4",6,NA,NA,"0","0","0",NA,NA,7.876,NA,NA,"C4M6",0
"C4",7,4,"F8","18","4","22",7,0.818181818,8.104,"9.559","m","C4M7",1
"C4",8,2,"F8","16","10","26",3,0.615384615,7.817,"9.559","m","C4M8",1
"C5",1,1,"F5","25","7","32",1,0.78125,9.803,"9.558","m","C5M1",1
"C5",2,3,"F6","24","3","27",6,0.875,7.917,"9.725","s","C5M2",1
"C5",3,2,"N/A","0","22","22",2,0,7.954,"N/A",NA,"C5M3",1
"C5",4,4,"F5","25","0","25",7,1,7.089,"9.558","m","C5M4",1
"C5",5,5,"F1","15","10","25",10,0.6,7.042,"10.43","m","C5M5",1
"C5",6,1,"F2","25","0","25",1,1,7.259,"9.379","s","C5M6",1
"C5",7,6,"F1","18","0","18",12,1,7.233,"10.43","m","C5M7",1
"C5",8,7,"F5","14","0","14",13,1,8.199,"9.558","m","C5M8",1
"C6",1,1,"F7","20","1","21",1,0.952380952,9.094,"9.543","m","C6M1",1
"C6",3,1,"F8","26","6","32",1,0.8125,8.714,"10.735","m","C6M3",1
"C6",4,1,"F3","32","2","34",1,0.941176471,9.477,"9.835","s","C6M4",1
"C6",5,2,"F6","38","0","38",2,1,9.391,"11.251","s","C6M5",1
"C6",6,2,NA,"0","21","21",2,0,7.985,NA,NA,"C6M6",1
"C6",7,1,"F8","17","5","22",1,0.772727273,7.991,"10.735","m","C6M7",1
"C6",8,2,"F7","26","1","27",2,0.962962963,9.078,"9.543","m","C6M8",1
"C7",1,1,"F8","24","9","33",1,0.727272727,9.418,"9.164","m","C7M1",1
"C7",2,NA,NA,"0","0","0",NA,NA,9.647,NA,NA,"C7M2",0
"C7",3,5,"F8","40","2","42",9,0.952380952,8.153,"9.164","m","C7M3",1
"C7",4,3,"F6","2","5","7",7,0.285714286,8.39,"10.416","m","C7M4",1
"C7",5,4,"F3","15","0","15",9,1,9.848,"10.007","m","C7M5",1
"C7",6,1,"F2","25","1","26",1,0.961538462,8.961,"9.971","s","C7M6",1
"C7",7,1,"F6","13","6","19",1,0.684210526,8.995,"10.416","m","C7M7",1
"C7",8,2,"F3","22","10","32",4,0.6875,10.328,"10.007","m","C7M8",1
"C8",1,1,"F8","39","4","43",1,0.906976744,10.601,"11.604","m","C8M1",1
"C8",2,2,"F6","29","0","29",2,1,8.888,"10.163","s","C8M2",1
"C8",3,1,"F8","40","3","43",1,0.930232558,9.08,"11.604","m","C8M3",1
"C8",4,2,"F5","51","0","51",2,1,10.25,"9.553","s","C8M4",1
"C8",5,1,"F1","43","1","44",1,0.977272727,9.399,"9.965","s","C8M5",1
"C8",6,3,"F3","52","1","53",3,0.981132075,9.373,"9.974","s","C8M6",1
"C8",7,1,"F4","25","0","25",1,1,9.516,"10.514","s","C8M7",1
"C8",8,2,"F8","16","2","18",2,0.888888889,9.979,"11.604","m","C8M8",1
