"trial_num","fishID","MatingSuccess","days_mated","mate_cat","totalEggs","NumDeveloped","NumUndeveloped","length","femID","fit1","eggs_per_mate","fit2","prop_dev","fit3","StdLength"
"C1",1,2,"1,2","m",60,60,0,10.102,"C1F1",2.33333333333333,30,0.888888888888889,1,1.00840336134454,0.752351028070434
"C1",3,1,"1","s",35,35,0,10.408,"C1F3",1.16666666666667,35,1.03703703703704,1,1.00840336134454,1.39542201854404
"C1",4,2,"1,1","m",60,58,2,9.003,"C1F4",2.33333333333333,30,0.888888888888889,0.966666666666667,0.974789915966387,-1.55724053575472
"C1",5,1,"7","s",40,40,0,9.755,"C1F5",1.16666666666667,40,1.18518518518519,1,1.00840336134454,0.0231169310300992
"C1",6,0,"","0",0,0,0,9.739,"C1F6",0,NA,0,NA,0,-0.0105076959227693
"C1",7,0,"","0",0,0,0,9.285,"C1F7",0,NA,0,NA,0,-0.964606485710415
"C1",8,0,"","0",0,0,0,9.916,"C1F8",0,NA,0,NA,0,0.361464739743338
"C3",1,0,"","0",0,0,0,9.85,"C3F1",0,NA,0,NA,0,0.604841898969077
"C3",2,0,"","0",0,0,0,9.6,"C3F2",0,NA,0,NA,0,0.103106603266815
"C3",3,1,"5","s",24,24,0,8.868,"C3F3",1.14285714285714,24,0.872727272727273,1,1.00478468899522,-1.36597434254941
"C3",4,2,"1,3","m",44,44,0,8.825,"C3F4",2.28571428571429,22,0.8,1,1.00478468899522,-1.4522728134102
"C3",5,1,"3","s",42,41,1,10.321,"C3F5",1.14285714285714,42,1.52727272727273,0.976190476190476,0.980861244019139,1.55011119607214
"C3",6,2,"1,1,5","m",63,63,0,9.613,"C3F6",2.28571428571429,31.5,1.14545454545455,1,1.00478468899522,0.129196838643333
"C3",7,1,"10","s",18,18,0,9.786,"C3F7",1.14285714285714,18,0.654545454545455,1,1.00478468899522,0.476397663269298
"C3",8,0,"","0",0,0,0,9.526,"C3F8",0,NA,0,NA,0,-0.0454070442610541
"C4",1,3,"2,2,4","m",87,84,3,9.462,"C4F1",4.8,29,1.09433962264151,0.96551724137931,1.15364806866953,0.177369994561363
"C4",2,0,"","0",0,0,0,9.956,"C4F2",0,NA,0,NA,0,1.47305616555307
"C4",3,0,"","0",0,0,0,9.298,"C4F3",0,NA,0,NA,0,-0.252776831435882
"C4",4,0,"","0",0,0,0,9.276,"C4F4",0,NA,0,NA,0,-0.310479454435513
"C4",5,0,"","0",0,0,0,8.943,"C4F5",0,NA,0,NA,0,-1.18388733892992
"C4",6,0,"","0",0,0,0,9.797,"C4F6",0,NA,0,NA,0,1.05602357205574
"C4",7,0,"","0",0,0,0,8.864,"C4F7",0,NA,0,NA,0,-1.39109221242859
"C4",8,2,"3,7","m",48,34,14,9.559,"C4F8",3.2,24,0.905660377358491,0.708333333333333,0.846351931330472,0.431786105059733
"C5",1,2,"10,12","m",43,33,10,10.43,"C5F1",2.28571428571429,21.5,0.885077186963979,0.767441860465116,0.862842178485208,1.63612108351266
"C5",2,1,"1","s",25,25,0,9.379,"C5F2",1.14285714285714,25,1.02915951972556,1,1.12430950529891,-0.71421311607293
"C5",3,0,"","0",0,0,0,9.897,"C5F3",0,NA,0,NA,0,0.444181855749464
