"trial_num","fishID","rank_2_mate","fem_mate","NumDeveloped","NumUndeveloped","totalEggs","lat_to_preg","per_surviving","length","fem_mate_len","fem_mate_cat","maleID","MatingSuccess","fit1","eggs_per_mate","fit2","prop_dev","fit3","StdLength"
"C1",1,5,"F5",40,0,40,7,1,8.743,"9.755","s","C1M1",1,1.16666666666667,40,1.26315789473684,1,1.01300390117035,0.67934483339848
"C1",2,NA,NA,0,0,0,NA,NA,7.413,NA,NA,"C1M2",0,0,NA,0,NA,0,-2.18640070304912
"C1",3,2,"F4",40,1,41,1,0.975609756,8.53,"9.003","m","C1M3",1,1.16666666666667,41,1.29473684210526,0.975609756097561,0.988296488946684,0.220394608388449
"C1",4,2,"F4",18,1,19,1,0.947368421,8.741,"9.003","m","C1M4",1,1.16666666666667,19,0.6,0.947368421052632,0.959687906371911,0.675035441614347
"C1",6,3,"F1",35,0,35,2,1,8.55,"10.102","m","C1M6",1,1.16666666666667,35,1.10526315789474,1,1.01300390117035,0.263488526229769
"C1",7,1,"F3",35,0,35,1,1,8.624,"10.408","s","C1M7",1,1.16666666666667,35,1.10526315789474,1,1.01300390117035,0.422936022242643
"C1",8,2,"F1",20,0,20,1,1,8.393,"10.102","m","C1M8",1,1.16666666666667,20,0.631578947368421,1,1.01300390117035,-0.0747987288245711
"C3",1,1,"F6",16,0,16,1,1,9.378,"9.613","m","C3M1",1,1,16,0.618357487922705,1,1.02182468694097,1.16291651540168
"C3",2,3,"F3",24,0,24,5,1,7.511,"8.868","s","C3M2",1,1,24,0.927536231884058,1,1.02182468694097,-1.41222374761381
"C3",3,1,"F4",24,0,24,1,1,7.911,"8.825","m","C3M3",1,1,24,0.927536231884058,1,1.02182468694097,-0.860506497905083
"C3",4,3,"F6",29,0,29,5,1,9.047,"9.613","m","C3M4",1,1,29,1.1207729468599,1,1.02182468694097,0.706370491267708
"C3",5,2,"F5",41,1,42,3,0.976190476,9.414,"10.321","s","C3M5",1,1,42,1.6231884057971,0.976190476190476,0.997495527728086,1.21257106787547
"C3",6,2,"F4",20,0,20,3,1,7.839,"8.825","m","C3M6",1,1,20,0.772946859903382,1,1.02182468694097,-0.959815602852653
"C3",7,1,"F6",29,5,34,1,0.852941176,8.643,"9.613","m","C3M7",1,1,34,1.31400966183575,0.852941176470588,0.871556350626118,0.149136069061892
"C3",8,4,"F7",18,0,18,10,1,8.536,"9.786","s","C3M8",1,1,18,0.695652173913043,1,1.02182468694097,0.00155170476480586
"C4",1,NA,NA,0,0,0,NA,NA,7.56,NA,NA,"C4M1",0,0,NA,0,NA,0,-1.39612870700721
"C4",2,NA,NA,0,0,0,NA,NA,8.243,NA,NA,"C4M2",0,0,NA,0,NA,0,0.347117923497224
"C4",3,1,"F1",27,0,27,2,1,8.56,"9.462","m","C4M3",1,1.6,27,1,1,1.15789473684211,1.15620896576648
"C4",4,1,"F1",34,0,34,2,1,7.962,"9.462","m","C4M4",1,1.6,34,1.25925925925926,1,1.15789473684211,-0.370088962552183
"C4",5,3,"F1",23,3,26,4,0.884615385,8.734,"9.462","m","C4M5",1,1.6,26,0.962962962962963,0.884615384615385,1.02429149797571,1.6003157208291
"C4",6,NA,NA,0,0,0,NA,NA,7.876,NA,NA,"C4M6",0,0,NA,0,NA,0,-0.589590002410719
"C4",7,4,"F8",18,4,22,7,0.818181818,8.104,"9.559","m","C4M7",1,1.6,22,0.814814814814815,0.818181818181818,0.947368421052632,-0.00765701301832135
"C4",8,2,"F8",16,10,26,3,0.615384615,7.817,"9.559","m","C4M8",1,1.6,26,0.962962962962963,0.615384615384615,0.712550607287449,-0.740177925104367
