ID	Sex	Organ
FUG10M2	M	Gill
FUG11F1	F	Gill
FUG11M2	M	Gill
FUG11M4	M	Gill
FUG12M1	M	Gill
FUG13F1	F	Gill
FUG13F4	F	Gill
FUG15M5	M	Gill
FUG2F2	F	Gill
FUG3F2	F	Gill
FUL10M2	M	Liver
FUL11F1	F	Liver
FUL11M2	M	Liver
FUL11M4	M	Liver
FUL12M1	M	Liver
FUL13F1	F	Liver
FUL13F4	F	Liver
FUL15M5	M	Liver
FUL2F2	F	Liver
FUL3F2	F	Liver
FUO11F1	F	Gonad
FUO13F1	F	Gonad
FUO13F4	F	Gonad
FUO2F2	F	Gonad
FUO3F2	F	Gonad
FUT10M2	M	Gonad
FUT11M2	M	Gonad
FUT11M4	M	Gonad
FUT12M1	M	Gonad
FUT15M5	M	Gonad
