ID	Sex	Organ
SSLF4	F	Liver
SSLM4	M	Liver
SSLF6	F	Liver
SSLM6	M	Liver
SSLF7	F	Liver
SSLM7	M	Liver
SSLF8	F	Liver
SSLM8	M	Liver
SSLF9	F	Liver
SSLM9	M	Liver
SSBF1	F	Brain
SSBF2	F	Brain
SSBF3	F	Brain
SSBM1	M	Brain
SSBM2	M	Brain
SSBM3	M	Brain
SSBM4	M	Brain
SSOF1	F	Gonad
SSOF2	F	Gonad
SSOF3	F	Gonad
SSOF4	F	Gonad
SSOF5	F	Gonad
SSPBPM1	M	BP
SSPBPM2	M	BP
SSPBPM3	M	BP
SSPBPM4	M	BP
SSPTM1	M	Gonad
SSPTM2	M	Gonad
SSPTM3	M	Gonad
SSPTM4	M	Gonad
SSPTM5	M	Gonad
SSSF1	F	Skin
SSSF2	F	Skin
SSSF3	F	Skin
SSSF4	F	Skin
SSSF5	F	Skin
SSSM1	M	Skin
SSSM2	M	Skin
SSSM3	M	Skin
SSSM4	M	Skin
SSSM5	M	Skin
